brd	smi	cid	dataset
BRD-K31484631	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CCN(CC(C)C)CC5)NC4=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(=O)c2c(O)c3C	CID:135398743	phase I
BRD-K31898736	COc1ccccc1NC(=O)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccc(cc1)C(=O)N(C)C	CID:60185004	phase I
BRD-K32053286	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2Cc1cccnc1	CID:60184849	phase I
BRD-K32605960	O=C(N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(\C=C\c2ccccc2)cc1)c1cnccn1	CID:60185281	phase I
BRD-K33018174	Cc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3ccc4OCOc4c3)C[C@@H]1N2	CID:60185029	phase I
BRD-K33453211	C[C@@H]1CN(CC[C@]1(C(O)=O)c1ccccc1)[C@H]1CC[C@](CC1)(C#N)c1ccc(F)cc1	CID:54385	phase I
BRD-K33462580	Cc1ccccc1-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc(Cl)cc1	CID:60184999	phase I
BRD-K33631051	CCCNC(=O)N1[C@H]2CNC[C@@H]1[C@H]2c1ccc(cc1)-c1ccc(C)cc1	CID:60185105	phase I
BRD-K34205220	Cc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CCC1	CID:71760038	phase I
BRD-K34404444	Cc1ccccc1-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2Cc1ccccn1	CID:60185150	phase I
BRD-K34776109	CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O	CID:3476	phase I
BRD-K34812979	Fc1ccc(CN2[C@H]3CNC[C@@H]2[C@H]3c2ccc(cc2)-c2ccccc2)cc1	CID:60185254	phase I
BRD-K34816161	C(N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(\C=C\c2ccccc2)cc1)c1nccs1	CID:60185025	phase I
BRD-K35376105	O=C(N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1cccc(c1)C#N)c1ccc2OCOc2c1	CID:60184852	phase I
BRD-K35410462	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3cocn3)C[C@@H]1N2	CID:60184835	phase I
BRD-K35862891	COc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)Cc1ccncc1	CID:60185251	phase I
BRD-K36337571	COc1cccc(CN2[C@H]3CNC[C@@H]2[C@@H]3c2ccc(cc2)-c2ccccc2C)c1	CID:60184856	phase I
BRD-K37291743	O=C(C1CCCCC1)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccc(cc1)C#N	CID:60185279	phase I
BRD-K37306336	O=C(C1CCOCC1)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(\C=C\c2ccccc2)cc1	CID:60185170	phase I
BRD-K37477851	COc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1ccccc1F	CID:60184949	phase I
BRD-K37584671	CN(C)C(=O)c1ccc(cc1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1ccc(C)cc1	CID:60184881	phase I
BRD-K37795473	O=C(N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(\C=C\c2ccccc2)cc1)c1ccc2OCOc2c1	CID:60185158	phase I
BRD-K38181288	N#Cc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3cocn3)C[C@@H]1N2	CID:60185558	phase I
BRD-K38369496	C\C=C\c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2S(=O)(=O)c1c(C)noc1C	CID:60184984	phase I
BRD-K38720323	NCCCn1c2cc(Cl)ccc2sc2cc(=O)c(=O)cc12	CID:125595	phase I
BRD-K39529907	Fc1ccc(cc1)C(=O)N1C[C@@H]2N[C@H](C1)[C@H]2c1ccc(cc1)-c1cccnc1	CID:60185169	phase I
BRD-K39658422	Fc1ccccc1NC(=O)N1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1ccncc1	CID:60185107	phase I
BRD-K39812290	Cc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccccc1Cl	CID:60184878	phase I
BRD-K40174747	C\C=C\c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1ccc(C)cc1	CID:60185006	phase I
BRD-K40223625	Cc1cccc(c1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc(F)cc1	CID:60185152	phase I
BRD-K40258090	CN(C)C(=O)c1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@H]2CNC[C@@H]1N2	CID:60184962	phase I
BRD-K40530731	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)c3ccccc3	CID:154417	phase I
